decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
merge,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""26"", ""42""], [""40""]]",0.9254,appearance compared successfully,True,5,0.947,0.9336,0.1696,0.0934,True,0.0934,0.1323,0.8398,0.7462,0.9815,9e371ee9-be8d-5636-9889-071ffa3f4cc4
merge,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,1dea76dd-dad1-5662-89fb-610ee65f1e31 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""28"", ""33"", ""46""], [""38"", ""39""]]",0.9867,appearance compared successfully,True,8,0.9909,0.9847,0.1775,0.0075,True,0.0075,0.2269,0.9246,0.9895,0.0126,1dea76dd-dad1-5662-89fb-610ee65f1e31
separate,simultaneous low-IoU boxes for 46 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002,9978d2a2-6017-5348-b3e4-54318380a8f0 | 6d78f2ab-b633-5385-a9f3-1bed91099431,cardboard | metal,"[[""1""], [""3"", ""5""]]",0.5776,appearance compared successfully,True,46,0.0457,0.0259,0.379,0.0622,True,0.0622,0.0152,0.0975,0.2927,0.1017,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,9978d2a2-6017-5348-b3e4-54318380a8f0 | 2f31120a-78f3-5941-bdb0-10e521d54923,cardboard | plastic,"[[""1""], [""10"", ""23""]]",0.6307,appearance compared successfully,False,0,,,0.3189,0.2358,True,0.2358,0.1785,0.1783,0.3429,0.6213,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,9978d2a2-6017-5348-b3e4-54318380a8f0 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,cardboard | plastic,"[[""1""], [""11""]]",0.6744,appearance compared successfully,False,0,,,0.3436,0.4799,True,0.4799,0.2261,0.3338,0.4626,0.3457,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,9978d2a2-6017-5348-b3e4-54318380a8f0 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,cardboard | cardboard,"[[""1""], [""12"", ""13""]]",0.591,appearance compared successfully,False,0,,,0.3682,0.1823,True,0.1823,0.1315,0.2537,0.5529,0.9939,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,9978d2a2-6017-5348-b3e4-54318380a8f0 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,cardboard | plastic,"[[""1""], [""22""]]",0.6301,appearance compared successfully,False,0,,,0.3469,0.1925,True,0.1925,0.0084,0.0774,0.5581,0.3028,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,9978d2a2-6017-5348-b3e4-54318380a8f0 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,cardboard | cardboard,"[[""1""], [""26"", ""42""]]",0.7001,appearance compared successfully,False,0,,,0.4786,0.8929,True,0.8929,0.0077,0.1781,0.5618,0.9926,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9978d2a2-6017-5348-b3e4-54318380a8f0 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""1""], [""28"", ""33"", ""46""]]",0.6296,appearance compared successfully,False,0,,,0.2508,0.7082,True,0.7082,0.0868,0.3161,0.8409,0.3149,
separate,temporal gap 100 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,9978d2a2-6017-5348-b3e4-54318380a8f0 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""1""], [""35"", ""37""]]",0.4513,appearance compared successfully,False,0,,,0.5537,1.0474,True,1.0474,0.0188,0.0679,0.3265,0.3028,
separate,temporal gap 130 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,9978d2a2-6017-5348-b3e4-54318380a8f0 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""1""], [""38"", ""39""]]",0.6086,appearance compared successfully,False,0,,,0.0413,0.7143,True,0.7143,0.1031,0.2922,0.8321,0.9525,
separate,temporal gap 141 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,9978d2a2-6017-5348-b3e4-54318380a8f0 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""1""], [""40""]]",0.6879,appearance compared successfully,False,0,,,0.2209,0.9735,True,0.9735,0.0447,0.181,0.7529,0.9518,
