decision,reason,logical_object_ids,scan_ids,categories,confidence,source_track_ids,frame_ranges,selected_bboxes,simultaneously_visible,overlap_frames,temporal_gap,trajectory_distance,endpoint_iou,overlapping_frame_iou_avg,overlapping_frame_iou_max,width_ratio,height_ratio,aspect_ratio,class_vote_similarity,object_crop_appearance_status,object_crop_appearance_score,simultaneous_low_iou_separate,strong_overlap_switch,selected_canonical_scan_id,thresholds
accepted,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,0.9281 | 0.6382,"[""26"", ""42""] | [""40""]",158-301 | 235-239,"[0.335834, 0.723128, 0.58891, 0.94547] | [0.354298, 0.624363, 0.595239, 0.80584]",True,5,0,0.1696,0.1323,0.9336,0.947,0.8398,0.9838,0.7462,0.9815,appearance compared successfully,0.8602,False,True,9e371ee9-be8d-5636-9889-071ffa3f4cc4,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
accepted,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,1dea76dd-dad1-5662-89fb-610ee65f1e31 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,0.7023 | 0.4171,"[""28"", ""33"", ""46""] | [""38"", ""39""]",167-301 | 224-231,"[0.286432, 0.371353, 0.632567, 0.660795] | [0.282319, 0.356168, 0.634773, 0.648162]",True,8,0,0.1775,0.2269,0.9847,0.9909,0.9463,0.9246,0.9895,0.0126,appearance compared successfully,0.9988,False,True,1dea76dd-dad1-5662-89fb-610ee65f1e31,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 46 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002,9978d2a2-6017-5348-b3e4-54318380a8f0 | 6d78f2ab-b633-5385-a9f3-1bed91099431,cardboard | metal,0.9593 | 0.7054,"[""1""] | [""3"", ""5""]",0-94 | 49-174,"[0.000112, 0.0, 0.999608, 0.99892] | [0.42245, 0.478037, 0.904651, 0.567147]",True,46,0,0.379,0.0152,0.0259,0.0457,0.3373,0.0975,0.2927,0.1017,appearance compared successfully,0.5089,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,9978d2a2-6017-5348-b3e4-54318380a8f0 | 2f31120a-78f3-5941-bdb0-10e521d54923,cardboard | plastic,0.9593 | 0.7921,"[""1""] | [""10"", ""23""]",0-94 | 104-170,"[0.000112, 0.0, 0.999608, 0.99892] | [0.152403, 0.000518, 0.499877, 0.10817]",False,0,10,0.3189,0.1785,,,0.3703,0.1783,0.3429,0.6213,appearance compared successfully,0.5812,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,9978d2a2-6017-5348-b3e4-54318380a8f0 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,cardboard | plastic,0.9593 | 0.4667,"[""1""] | [""11""]",0-94 | 111-140,"[0.000112, 0.0, 0.999608, 0.99892] | [0.238957, 0.670522, 0.942991, 0.99131]",False,0,17,0.3436,0.2261,,,0.7215,0.3338,0.4626,0.3457,appearance compared successfully,0.7129,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,9978d2a2-6017-5348-b3e4-54318380a8f0 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,cardboard | cardboard,0.9593 | 0.6919,"[""1""] | [""12"", ""13""]",0-94 | 119-128,"[0.000112, 0.0, 0.999608, 0.99892] | [0.168886, 0.000352, 0.606813, 0.2273]",False,0,25,0.3682,0.1315,,,0.4564,0.2537,0.5529,0.9939,appearance compared successfully,0.499,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,9978d2a2-6017-5348-b3e4-54318380a8f0 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,cardboard | plastic,0.9593 | 0.7522,"[""1""] | [""22""]",0-94 | 154-173,"[0.000112, 0.0, 0.999608, 0.99892] | [0.195801, 0.199486, 0.339554, 0.279785]",False,0,60,0.3469,0.0084,,,0.138,0.0774,0.5581,0.3028,appearance compared successfully,0.6265,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,9978d2a2-6017-5348-b3e4-54318380a8f0 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,cardboard | cardboard,0.9593 | 0.9281,"[""1""] | [""26"", ""42""]",0-94 | 158-301,"[0.000112, 0.0, 0.999608, 0.99892] | [0.335834, 0.723128, 0.58891, 0.94547]",False,0,64,0.4786,0.0077,,,0.2863,0.1781,0.5618,0.9926,appearance compared successfully,0.676,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9978d2a2-6017-5348-b3e4-54318380a8f0 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,0.9593 | 0.7023,"[""1""] | [""28"", ""33"", ""46""]",0-94 | 167-301,"[0.000112, 0.0, 0.999608, 0.99892] | [0.286432, 0.371353, 0.632567, 0.660795]",False,0,73,0.2508,0.0868,,,0.3712,0.3161,0.8409,0.3149,appearance compared successfully,0.5854,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal gap 100 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,9978d2a2-6017-5348-b3e4-54318380a8f0 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,0.9593 | 0.8253,"[""1""] | [""35"", ""37""]",0-94 | 194-299,"[0.000112, 0.0, 0.999608, 0.99892] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,100,0.5537,0.0188,,,0.2074,0.0679,0.3265,0.3028,appearance compared successfully,0.5285,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal gap 130 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,9978d2a2-6017-5348-b3e4-54318380a8f0 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,0.9593 | 0.4171,"[""1""] | [""38"", ""39""]",0-94 | 224-231,"[0.000112, 0.0, 0.999608, 0.99892] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,130,0.0413,0.1031,,,0.3512,0.2922,0.8321,0.9525,appearance compared successfully,0.5867,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
