logical_object_id,scan_id,object_crop_sheet,context_sheet,bbox,track_ids,frame_range,category,confidence,suspected_physical_cluster,reason,mapping_confidence
0005,0e73ec90-0d86-58d3-ae3b-15c0b901852a,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.168886, 0.000352, 0.606813, 0.2273]","[""12"", ""13""]",119-128,cardboard,0.6919,physical-A-purple-box,"crop/context show same purple-yellow box top/side fragment; rejected automatically vs 0003 due 10-frame overlap, low IoU",medium
0006,16c70c74-caab-5a7f-af06-6b71a5a4855a,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.195801, 0.199486, 0.339554, 0.279785]","[""22""]",154-173,plastic,0.7522,physical-C-toilet-roll-tissue-fragment,"crop/context show white tissue/roll fragment; possible same physical item as 0004, but evidence insufficient for automatic merge",low
0008,1dea76dd-dad1-5662-89fb-610ee65f1e31,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.286432, 0.371353, 0.632567, 0.660795]","[""28"", ""33"", ""46""]",167-301,plastic,0.7023,physical-D-handheld-device,accepted duplicate with 0010; crop/context show same handheld device,high
0003,2f31120a-78f3-5941-bdb0-10e521d54923,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.152403, 0.000518, 0.499877, 0.10817]","[""10"", ""23""]",104-170,plastic,0.7921,physical-A-purple-box,crop/context show partial purple-yellow box; rejected automatically due size/aspect mismatch and short overlap with 0005,medium
0004,4d2f42ba-27c6-515e-a89e-5c51463b80a9,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.238957, 0.670522, 0.942991, 0.99131]","[""11""]",111-140,plastic,0.4667,physical-C-toilet-roll-tissue,crop/context show toilet roll/tissue; no accepted merge because size/aspect and trajectory evidence insufficient,high
0010,5c409e53-6f25-5f9a-a851-aa8aa7cce794,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.282319, 0.356168, 0.634773, 0.648162]","[""38"", ""39""]",224-231,cardboard,0.4171,physical-D-handheld-device,accepted duplicate with 0008; object-only appearance and short overlap evidence match,high
0002,6d78f2ab-b633-5385-a9f3-1bed91099431,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.42245, 0.478037, 0.904651, 0.567147]","[""3"", ""5""]",49-174,metal,0.7054,physical-B-watch,crop/context show metal watch; simultaneous low-IoU separation from other objects,high
0001,9978d2a2-6017-5348-b3e4-54318380a8f0,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.000112, 0.0, 0.999608, 0.99892]","[""1""]",0-94,cardboard,0.9593,physical-A-purple-box,"retained candidate; bbox is full frame, visually includes purple box and watch; bbox unreliable",medium
0007,9e371ee9-be8d-5636-9889-071ffa3f4cc4,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.335834, 0.723128, 0.58891, 0.94547]","[""26"", ""42""]",158-301,cardboard,0.9281,physical-E-orange-carton,accepted duplicate with 0011; crop/context show same orange carton,high
0011,bdc32c7f-2040-5063-85fc-f582b42bff6e,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.354298, 0.624363, 0.595239, 0.80584]","[""40""]",235-239,cardboard,0.6382,physical-E-orange-carton,accepted duplicate with 0007; object-only appearance and short overlap evidence match,high
0009,e76a7eb7-78f4-51cb-9b45-8e2136a6769b,output/dedupe-aa894e58-stabilized-object-crops-contact-sheet.jpg,output/dedupe-aa894e58-stabilized-context-contact-sheet.jpg,"[0.073478, 0.923937, 0.341892, 0.999582]","[""35"", ""37""]",194-299,plastic,0.8253,physical-C-white-edge-fragment,crop is weak lower-edge/glare-like white fragment; do not use as canonical without human verification,low
